Gender,PolView
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,1
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,2
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
Female,3
