Gender,Hours
Female,1
Female,4
Female,4
Female,4
Female,5
Female,5
Female,5
Female,7
Female,8
Female,8
Female,8
Female,8
Female,8
Female,8
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,9
Female,10
Female,10
Female,10
Female,10
Female,12
Female,12
Female,12
Female,12
Female,15
Female,15
Female,15
Female,15
Female,15
Female,15
Female,15
Female,15
Female,15
Female,16
Female,16
Female,16
Female,16
Female,16
Female,16
Female,16
Female,16
Female,16
Female,17
Female,17
Female,18
Female,18
Female,19
Female,19
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,20
Female,21
Female,22
Female,23
Female,24
Female,24
Female,24
Female,24
Female,24
Female,24
Female,24
Female,24
Female,24
Female,24
Female,24
Female,24
Female,25
Female,25
Female,25
Female,25
Female,25
Female,25
Female,25
Female,25
Female,25
Female,25
Female,25
Female,25
Female,27
Female,28
Female,28
Female,28
Female,29
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,30
Female,31
Female,31
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,32
Female,33
Female,34
Female,34
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,35
Female,36
Female,36
Female,36
Female,36
Female,36
Female,36
Female,36
Female,36
Female,36
Female,37
Female,37
Female,37
Female,37
Female,37
Female,37
Female,37
Female,37
Female,37
Female,37
Female,38
Female,38
Female,38
Female,38
Female,38
Female,38
Female,38
Female,38
Female,38
Female,38
Female,38
Female,38
Female,39
Female,39
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
Female,40
